# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt
0, 25, 7, 0.0528, 2, 1, 0, 1.0081, 0.9815, 0.9974
1, 1, 1, 26.0000, 1, 0, 0, 1.1608, 0.9938, 0.9991
2, 2, 1, 2.8284, 2, 0, 0, 1.1879, 0.8761, 0.9826
3, 10, 2, 0.6000, 7, 1, 0, 1.0094, 0.9699, 0.9957
4, 1, 1, 6.0000, 1, 1, 0, 1.0051, 0.9786, 0.9970
5, 1, 1, 6.0000, 1, 1, 0, 1.0099, 0.9673, 0.9954
6, 2, 2, 29.3669, 1, 1, 0, 1.1136, 0.9799, 0.9971
7, 6, 4, 0.1575, 1, 1, 0, 1.0098, 0.9328, 0.9905
8, 74, 21, 0.0173, 1, 1, 0, 1.0408, 1.0119, 1.0017
9, 3, 1, 0.5774, 3, 0, 0, 1.3638, 1.0290, 1.0041
10, 24, 22, 1.6222, 1, 1, 0, 1.0185, 1.0060, 1.0009
11, 2, 2, 1.1906, 1, 1, 0, 1.0254, 1.0049, 1.0007
12, 3, 1, 0.5774, 3, 0, 0, 1.6181, 1.2309, 1.0341
13, 4, 3, 0.2311, 1, 1, 0, 1.0257, 0.9618, 0.9946
14, 2, 1, 0.7071, 2, 1, 0, 4.9844, 2.2069, 1.2084
15, 1, 1, 14.0000, 1, 0, 0, 1.0228, 0.9893, 0.9985
16, 2, 2, 17.0646, 1, 1, 0, 1.0772, 0.9523, 0.9932
17, 7, 5, 11.6961, 1, 1, 0, 1.0142, 0.9813, 0.9973
18, 24, 6, 3.3725, 2, 0, 0, 1.1222, 0.7715, 0.9685
19, 8, 12, 1.0718, 3, 0, 0, 1.1101, 0.7327, 0.9633
20, 4, 1, 0.5000, 4, 0, 0, 1.1308, 0.8917, 0.9847
21, 1, 1, 21.0000, 1, 0, 0, 1.0358, 0.9895, 0.9985
22, 25, 6, 0.1834, 1, 0, 0, 1.0741, 1.0213, 1.0030
23, 7, 3, 13.4010, 2, 1, 0, 1.0219, 0.9819, 0.9974
24, 1, 1, 19.0000, 1, 0, 0, 1.0109, 0.9764, 0.9966
25, 28, 6, 0.2594, 2, 1, 0, 1.0271, 1.0025, 1.0004
26, 1, 1, 2.0000, 1, 1, 0, 1.0438, 1.0166, 1.0024
27, 4, 3, 0.2311, 1, 0, 0, 1.1220, 0.8543, 0.9798
28, 1, 1, 30.0000, 1, 0, 0, 1.0160, 0.9976, 0.9997
29, 1, 1, 10.0000, 1, 1, 0, 1.0098, 0.9889, 0.9984
30, 8, 5, 0.1170, 1, 0, 0, 1.4602, 0.9749, 0.9964
31, 16, 6, 2.9655, 3, 1, 0, 1.1267, 0.8570, 0.9799
32, 1, 1, 1.0000, 1, 0, 0, 1.3834, 0.9165, 0.9883
33, 1, 1, 4.0000, 1, 0, 0, 1.9688, 0.7373, 0.9638
34, 5, 2, 0.2291, 3, 1, 0, 1.0214, 0.6766, 0.9558
